SID,P_Pref,C_Pref ,Cl_Support,Tr_Support,Cand_Support,Rep_Prim,Dem_Prim,PrimElect,Tr_Dona,Tr_Volu,Cl_Dona,Cl_Volu,Cand_Dona,Cand_Volu,prev_candSupport,Tr_Difi_Dist,Tr_Difi_Over,Cl_Difi_Dist,Cl_Difi_Over,Cand_Difi_Dist,Cand_Difi_Overlap,Dem_Iden,Rep_Iden,Party_Iden,Regi,Reg_Party,Reg_Party_Plan,Dem_Dona,Dem_Volu,Rep_Dona,Rep_Volu,Party_Dona,Party_Volu,prev_partySupport,Rep_Difi_Dist,Rep_Difi_Over,Dem_Difi_Dist,Dem_Difi_Over,Party_Difi_Dist,Party_Difi_Over,DG_Test1,DG_Test2,DG_Test3,DG_Choice,Expl,Tr_Happy,Cl_Happy,EarlyVote,candVote_Choice,ClintonSupporter_Happy,TrumpSupporter_Happy,OtherSupporter_Happy,Gender,Age,Education,Income,USCit,Surveys,SimSurv,Scept,Wave,DG_In
744,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,-50,0,-50,0,6,,6,Yes,Dem,,No,No,,,No,No,0,,,-43,0,-43,0,40,0,20,0,I am really poor and I need every penny I can get for me to be able to survive.,1,2,No,,,,,Male,40,HS,"<$5,000",Yes,9999,2,3,3,yes
745,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,88,89,88,89,7,,7,Yes,Dem,,No,No,,,No,No,0,,,125,100,125,100,40,0,20,0,I want my maxium bonus ,1,7,No,,,,,Male,30,<Coll,">$100,000",Yes,1500,3,5,3,yes
746,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,60,55,60,55,6,,6,Yes,Dem,,No,No,,,No,No,0,,,72,70,72,70,40,0,20,0,I'm working for the money and need it,1,6,No,,,,,Male,28,Coll,"$65,001-$80,000",Yes,45,1,1,3,yes
747,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,64,60,64,60,5,,5,Yes,Dem,,Yes,No,,,Yes,No,1,,,49,42,49,42,40,0,20,10,I wanted a larger bonus than the other person but I didn't want them to get nothing so I choose .10,1,6,Yes,,,,,Female,30,Coll,"<$5,000",Yes,150,4,2,3,yes
748,Democrat,Trump,,1,1,,Sanders,Yes,No,No,,,No,No,0,4,1,,,4,1,1,,1,Yes,Other,,No,No,,,No,No,0,,,4,1,4,1,40,0,20,0,I need to pay rent,1,1,No,,,,,Male,37,Coll,"<$5,000",Yes,500,3,3,3,yes
749,Democrat,Clinton,4,,4,,Clinton,No,,,No,No,No,No,0,,,24,14,24,14,3,,3,Yes,Dem,,No,No,,,No,No,0,,,26,17,26,17,40,0,20,0,I tried to maximize my earnings.,4,5,No,,,,,Male,22,Coll,"<$5,000",Yes,1000,2,4,3,yes
750,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,Yes,No,Yes,1,,,125,100,125,100,3,,3,No,,Yes-Rep,Yes,No,,,Yes,No,1,,,125,100,125,100,10,20,20,25,best option ,3,4,No,,,,,Male,25,<Coll,"$15,001-$25,000",Yes,2,3,3,3,no
751,Republican,Trump,,4,4,Trump,,Yes,Yes,No,,,Yes,No,1,-4,0,,,-4,0,,4,4,Yes,Rep,,,,No,No,No,No,0,-30,0,,,-30,0,40,0,20,0,I wanted to earn the most money possible,7,1,No,,,,,Female,31,Grad,"$65,001-$80,000",Yes,4000,4,3,3,yes
752,Democrat,Clinton,5,,5,,Clinton,Yes,,,No,Yes,No,Yes,1,,,17,9,17,9,2,,2,Yes,Other,,No,No,,,No,No,0,,,-10,0,-10,0,40,0,20,0,I WANTED TO MAXIMIZE MY EARNINGS ,2,6,No,,,,,Female,69,Coll,"$15,001-$25,000",Yes,75,3,3,3,yes
753,Democrat,Clinton,1,,1,,Sanders,Yes,,,No,No,No,No,0,,,-36,0,-36,0,4,,4,Yes,Dem,,No,No,,,No,No,0,,,11,4,11,4,40,0,20,10,"I am currently hurting for money, but also want other mTurk workers to get some bonuses as well. ",1,2,No,,,,,Female,22,<Coll,"$35,001-$50,000",Yes,2850,5,5,3,yes
