SID,P_Pref,C_Pref ,Cl_Support,Tr_Support,Cand_Support,Rep_Prim,Dem_Prim,PrimElect,Tr_Dona,Tr_Volu,Cl_Dona,Cl_Volu,Cand_Dona,Cand_Volu,prev_candSupport,Tr_Difi_Dist,Tr_Difi_Over,Cl_Difi_Dist,Cl_Difi_Over,Cand_Difi_Dist,Cand_Difi_Overlap,Dem_Iden,Rep_Iden,Party_Iden,Regi,Reg_Party,Reg_Party_Plan,Dem_Dona,Dem_Volu,Rep_Dona,Rep_Volu,Party_Dona,Party_Volu,prev_partySupport,Rep_Difi_Dist,Rep_Difi_Over,Dem_Difi_Dist,Dem_Difi_Over,Party_Difi_Dist,Party_Difi_Over,DG_Test1,DG_Test2,DG_Test3,DG_Choice,Expl,Tr_Happy,Cl_Happy,EarlyVote,candVote_Choice,ClintonSupporter_Happy,TrumpSupporter_Happy,OtherSupporter_Happy,Gender,Age,Education,Income,USCit,Surveys,SimSurv,Scept,Wave,DG_In
1,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,15,7,15,7,5,,5,Yes,Dem,,No,No,,,No,No,0,,,43,35,43,35,40,0,20,10,I gave them a little but kept more for myself as I did not feel too close to the other person. ,2,5,No,,,,,Female,34,<Coll,"$25,001-$35,000",Yes,23000,3,3,1,yes
2,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,7,2,7,2,4,,4,Yes,Other,,No,No,,,No,No,0,,,-100,0,-100,0,10,10,10,10,i do not like hiliary or trump i like sanders,2,2,No,,,,,Male,19,HS,"$50,001-$65,000",Yes,0,3,3,1,no
3,Republican,Trump,,6,6,Trump,,Yes,No,No,,,No,No,0,47,39,,,47,39,,4,4,Yes,Other,,,,No,No,No,No,0,28,19,,,28,19,40,0,20,20,I figured give them half. I wasn't planning on a bonus so splitting it equal was no loss to me.,6,1,Yes,,,,,Female,44,Coll,"$35,001-$50,000",Yes,2250,3,3,1,yes
4,Republican,Trump,,3,3,Other,,No,No,Yes,,,No,Yes,1,26,16,,,26,16,,3,3,Yes,Other,,,,No,No,No,No,0,45,37,,,45,37,40,0,20,0,I want the most for me.  I do not know this other person.,3,1,No,,,,,Female,50,Coll,">$100,000",Yes,200,3,5,1,yes
5,Republican,Trump,,6,6,Trump,,No,No,No,,,No,No,0,70,68,,,70,68,,5,5,Yes,Rep,,,,No,No,No,No,0,31,21,,,31,21,40,0,20,10,I am not fully identified with Trump or any political affiliation for that matter but I do support Trump over anyone else because I think he will ruffle up quite a few feathers in Washington. The other person has a chance to take this study and keep all of his bonus or only give a small percentage so overall we both get a decent amount in the end.,7,2,No,,,,,Male,26,Coll,">$100,000",Yes,150,3,4,1,yes
6,Republican,Clinton,2,,2,Trump,,No,,,No,No,No,No,0,,,13,6,13,6,,4,4,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,35,25,,,35,25,40,0,20,0,i dont know who the other person is,4,4,No,,,,,Male,26,HS,"$10,001-$15,000",Yes,1200,3,1,1,yes
7,Democrat,Clinton,7,,7,,Clinton,Yes,,,Yes,No,Yes,No,1,,,100,100,100,100,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,75,74,75,74,40,0,20,0,I need the money.,1,7,No,,,,,Female,38,<Coll,"$25,001-$35,000",Yes,15,3,2,1,yes
8,Democrat,Clinton,4,,4,,Sanders,No,,,Yes,No,Yes,No,1,,,-1,0,-1,0,5,,5,Yes,Other,,No,No,,,No,No,0,,,29,20,29,20,40,0,20,0,I wanted to keep the most money for myself,1,5,No,,,,,Male,44,HS,"$25,001-$35,000",Yes,10000,3,3,1,yes
9,Republican,Trump,,7,7,Trump,,No,No,No,,,No,No,0,90,92,,,90,92,,5,5,Yes,Rep,,,,No,No,No,No,0,60,55,,,60,55,40,0,20,20,I only expected to make $.20 from this study and if there really was another person playing I didn't mind sharing some of the money with him or her. I might have played differently if the bonus was larger but giving $.20 to another like minded stranger was an easy decision.,5,1,No,,,,,Male,67,<Coll,"$25,001-$35,000",Yes,100,3,3,1,yes
10,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,No,No,No,0,,,125,100,125,100,7,,7,Yes,Dem,,No,Yes,,,No,Yes,1,,,125,100,125,100,40,0,20,20,"I believe in an equal distribution of resources. I would have shared the bonus in EXACTLY the same way, i.e. I would have sent $0.20, Even if the other mturk worker had been a Republican Donald Trump supporter.",1,7,Yes,,,,,Male,43,Coll,"$25,001-$35,000",Yes,200,2,5,1,yes
11,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,60,55,60,55,5,,5,Yes,Dem,,Yes,No,,,Yes,No,1,,,80,80,80,80,40,0,20,20,I believe in fairness so we should both get 50%,3,5,No,,,,,Male,26,Coll,"$50,001-$65,000",Yes,100,2,4,1,yes
12,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,125,100,,,125,100,,4,4,Yes,Other,,,,No,No,No,No,0,37,27,,,37,27,40,40,40,0,I wanted it ,7,1,No,,,,,Male,37,<Coll,"$65,001-$80,000",Yes,9000,1,5,1,no
13,Democrat,Trump,,5,5,,Sanders,Yes,Yes,No,,,Yes,No,1,94,96,,,94,96,5,,5,Yes,Dem,,Yes,No,,,Yes,No,1,,,88,90,88,90,0,30,10,25,because this is how i thought,6,3,Yes,,,,,Male,28,<Coll,"$15,001-$25,000",Yes,20,3,3,1,no
14,Republican,Trump,,1,1,Other,,No,No,No,,,No,No,0,2,0,,,2,0,,1,1,Yes,Other,,,,No,No,No,No,0,33,24,,,33,24,40,0,20,20,"it's right down the middle, seemed fair.",6,1,No,,,,,Female,65,<Coll,"$35,001-$50,000",Yes,2500,3,1,1,yes
15,Republican,Trump,,3,3,Other,,Yes,No,No,,,No,No,0,48,40,,,48,40,,5,5,Yes,Other,,,,No,No,No,No,0,87,88,,,87,88,40,0,20,10,I made the decision because of similarities between both of us.,4,1,No,,,,,Male,28,<Coll,"$65,001-$80,000",Yes,303,3,4,1,yes
16,Democrat,Clinton,6,,6,,Clinton,No,,,No,Yes,No,Yes,1,,,42,33,42,33,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,89,91,89,91,40,0,20,20,"Yes, its better be equal than one having more than other. I stand for eauality",1,5,No,,,,,Male,30,Coll,"$80,001-$100,000",Yes,500,2,3,1,yes
17,Republican,Trump,,6,6,Trump,,No,No,Yes,,,No,Yes,1,59,54,,,59,54,,4,4,Yes,Rep,,,,No,No,No,No,0,14,7,,,14,7,40,40,20,0,"I want it all, and the other person would of done the same thing.",5,1,No,,,,,Male,27,Voc,"$25,001-$35,000",Yes,100,2,3,1,no
18,Republican,Trump,,4,4,Trump,,No,No,No,,,No,No,0,14,6,,,14,6,,5,5,Yes,Other,,,,No,No,No,No,0,15,7,,,15,7,40,0,20,0,I am looking out for number one and my family.,5,1,No,,,,,Female,35,HS,"$35,001-$50,000",Yes,500,3,1,1,yes
19,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,No,No,No,0,,,91,93,91,93,6,,6,Yes,Dem,,No,Yes,,,No,Yes,1,,,84,85,84,85,20,20,20,20,i chose to give them half in the hopes that they will give me half.,1,7,No,,,,,Female,50,<Coll,"$50,001-$65,000",Yes,91,3,3,1,no
20,Democrat,Clinton,2,,2,,Sanders,No,,,Yes,No,Yes,No,1,,,4,1,4,1,2,,2,Yes,Other,,No,Yes,,,No,Yes,1,,,0,0,0,0,40,0,20,5,"Because every time I do studies, no one transfers me anything, so I've stopped being so generous. However I hate being greedy so I still do offer some to others.",1,2,No,,,,,Male,30,HS,"$35,001-$50,000",Yes,1000,2,2,1,yes
21,Democrat,Clinton,4,,4,,Sanders,No,,,No,No,No,No,0,,,14,7,14,7,5,,5,Yes,Other,,No,No,,,No,No,0,,,68,65,68,65,40,0,20,0,I feel bad for them but I want a larger bonus.,1,6,No,,,,,Female,25,<Coll,"$15,001-$25,000",Yes,100,4,1,1,yes
22,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,0,0,0,0,2,,2,Yes,Rep,,No,No,,,No,No,0,,,18,10,18,10,40,0,20,20,I thought it would be fair to offer them half of what I have. ,1,4,No,,,,,Male,30,<Coll,"$10,001-$15,000",Yes,787,1,1,1,yes
23,Republican,Trump,,7,7,Other,,No,No,No,,,No,No,0,21,12,,,21,12,,2,2,Yes,Other,,,,No,No,No,No,0,12,5,,,12,5,40,0,20,0,I spend more than I can earn.,6,1,No,,,,,Male,57,Voc,"$5,000-$10,000",Yes,18124,4,1,1,yes
24,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,24,14,24,14,3,,3,Yes,Dem,,No,No,,,No,No,0,,,35,26,35,26,40,0,20,10,I was a Sanders supporter and I am not happy with how Hillary has won the nominee. I also do not think the other person is real.,1,4,No,,,,,Male,27,Coll,"$25,001-$35,000",Yes,500,5,1,1,yes
25,Democrat,Clinton,3,,3,,Sanders,Yes,,,No,No,No,No,0,,,66,62,66,62,4,,4,Yes,Dem,,No,Yes,,,No,Yes,1,,,50,43,50,43,40,40,0,0,,,,,,,,,,,,,,,,,1,no
26,Democrat,Clinton,6,,6,,Clinton,No,,,No,Yes,No,Yes,1,,,93,95,93,95,7,,7,Yes,Dem,,No,No,,,No,No,0,,,107,100,107,100,40,0,20,20,Did it to make money.  Other person probably did also. ,1,7,No,,,,,Female,59,<Coll,"$25,001-$35,000",Yes,100,3,4,1,yes
27,Republican,Trump,,3,3,Other,,No,No,No,,,No,No,0,-48,0,,,-48,0,,6,6,Yes,Rep,,,,No,No,No,No,0,-3,0,,,-3,0,40,0,20,0,I'm doing these studies to earn as much as I can so I kept the money.,5,1,No,,,,,Female,41,Voc,"$50,001-$65,000",Yes,800,3,1,1,yes
28,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,35,26,35,26,6,,6,Yes,Dem,,No,No,,,No,No,0,,,55,49,55,49,40,0,20,0,Just because we are in the same party doesn't mean I want to donate my bonus to them. I have no relationship with this person and know nothing about him so I don't feel obligated to donate.,1,7,No,,,,,Female,32,Coll,"$50,001-$65,000",Yes,100,3,4,1,yes
29,Republican,Trump,,7,7,Other,,Yes,No,No,,,No,No,0,58,52,,,58,52,,7,7,Yes,Rep,,,,No,No,No,No,0,84,85,,,84,85,40,0,20,15,"I often split money evenly, but I often do not receive and even split when others choose, so I did not quite go even.",7,1,Yes,,,,,Male,70,Grad,">$100,000",Yes,2000,3,5,1,yes
30,Republican,Trump,,5,5,Trump,,Yes,No,Yes,,,No,Yes,1,47,39,,,47,39,,5,5,Yes,Rep,,,,No,No,No,No,0,116,100,,,116,100,40,0,20,20,We have the same values,6,1,Yes,,,,,Female,33,Coll,"$50,001-$65,000",Yes,50,2,5,1,yes
31,Democrat,Clinton,1,,1,,Sanders,Yes,,,No,No,No,No,0,,,-56,0,-56,0,1,,1,Yes,Dem,,No,No,,,No,No,0,,,16,8,16,8,40,40,20,0,I wanted the full $0.40.,1,1,No,,,,,Female,26,Coll,"$25,001-$35,000",Yes,700,3,1,1,no
32,Republican,Clinton,2,,2,Other,,Yes,,,No,No,No,No,0,,,15,7,15,7,,4,4,Yes,Rep,,,,No,Yes,No,Yes,1,56,50,,,56,50,40,0,20,0,I wanted to get as much money as I could for me,3,4,No,,,,,Male,39,Coll,"$35,001-$50,000",Yes,14000,2,3,1,yes
33,Republican,Clinton,5,,5,Trump,,No,,,No,Yes,No,Yes,1,,,16,8,16,8,,5,5,Yes,Rep,,,,No,Yes,No,Yes,1,58,53,,,58,53,40,40,20,10,"because I'm not selfish, so I give him/her 10 cents",6,5,Yes,,,,,Female,35,Coll,"$65,001-$80,000",Yes,300,4,4,1,no
34,Republican,Trump,,6,6,Trump,,Yes,Yes,No,,,Yes,No,1,54,48,,,54,48,,5,5,Yes,Rep,,,,Yes,No,Yes,No,1,66,63,,,66,63,,,,,,,,,,,,,,,,,,,,,1,no
35,Democrat,Trump,,6,6,,Sanders,Yes,No,No,,,No,No,0,111,100,,,111,100,7,,7,Yes,Dem,,No,No,,,No,No,0,,,97,99,97,99,40,0,20,0,I wanted to earn the most,7,1,No,,,,,Female,30,Coll,"$65,001-$80,000",Yes,3500,2,5,1,yes
36,Democrat,Clinton,1,,1,,Sanders,No,,,No,No,No,No,0,,,-30,0,-30,0,2,,2,Yes,Other,,No,No,,,No,No,0,,,-2,0,-2,0,40,0,20,20,"I really do not care whether the other person is a Democrat and supports Clinton -- while I may not agree with their party affiliation or choice in candidate (I am a Green and voted for Stein) -- I try to treat others the way I wish to be treated, which is fairly and with respect. It is only right that I share the money equally.",1,3,Yes,,,,,Female,48,Grad,"$5,000-$10,000",Yes,9000,4,5,1,yes
37,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,10,4,10,4,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,91,93,91,93,40,0,20,0,I made the selfish decision to keep the most money for myself at the expense of the other person. The only motivating factor was to get the most money.,1,4,No,,,,,Female,31,Grad,"$35,001-$50,000",Yes,Hundreds,3,1,1,yes
38,Republican,Trump,,5,5,Other,,No,No,No,,,No,No,0,21,12,,,21,12,,5,5,Yes,Other,,,,No,No,No,No,0,8,3,,,8,3,40,0,20,20,It seemed fair.,5,4,No,,,,,Female,45,Coll,"$80,001-$100,000",Yes,350,1,3,1,yes
39,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,2,0,,,2,0,,4,4,Yes,Dem,,,,No,No,No,No,0,-11,0,,,-11,0,40,0,20,0,I wanted to maximize my earnings,6,1,Yes,,,,,Female,23,<Coll,"$10,001-$15,000",Yes,32,1,5,1,yes
40,Democrat,Clinton,5,,5,,Sanders,No,,,Yes,No,Yes,No,1,,,36,26,36,26,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,29,20,29,20,40,0,20,0,"I do not know this person, so I have no leaning toward giving them any of my bonus. I consider it mine, and it would be foolish to simply give it up.",2,7,Yes,,,,,Male,32,<Coll,"$15,001-$25,000",Yes,2500,3,5,1,yes
41,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,-4,0,,,-4,0,,5,5,Yes,Rep,,,,No,No,No,No,0,0,0,,,0,0,40,0,20,0,I think that this is a fair decision.,6,2,No,,,,,Male,38,Coll,"$65,001-$80,000",Yes,5000,1,3,1,yes
42,Democrat,Clinton,6,,6,,Clinton,No,,,No,No,No,No,0,,,48,40,48,40,6,,6,Yes,Dem,,No,No,,,No,No,0,,,65,61,65,61,40,0,20,20,it's fair to split the bonus,1,6,No,,,,,Female,33,Grad,"$80,001-$100,000",Yes,50,2,3,1,yes
43,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,5,1,5,1,6,,6,Yes,Dem,,No,No,,,No,No,0,,,38,28,38,28,40,0,20,20,I thought it would be fair to get the same amount. ,1,5,No,,,,,Female,24,Coll,"$80,001-$100,000",Yes,10000,4,5,1,yes
44,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,9,3,9,3,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,37,27,37,27,40,0,20,20,"I think it's only fair that we split the bonus, as we are both working here to make money.",1,5,No,,,,,Female,35,<Coll,"<$5,000",Yes,5000,3,5,1,yes
45,Republican,Clinton,1,,1,Other,,No,,,No,No,No,No,0,,,-100,0,-100,0,,3,3,Yes,Rep,,,,No,No,No,No,0,33,24,,,33,24,40,0,40,10,I would feel bad not to share anything. ,1,1,No,,,,,Female,26,Coll,"$35,001-$50,000",Yes,3200,2,4,1,no
46,Democrat,Clinton,3,,3,,Sanders,No,,,No,No,No,No,0,,,-50,0,-50,0,3,,3,Yes,Other,,No,No,,,No,No,0,,,-31,0,-31,0,40,0,20,10,"I made the decision that I did because I want to get a large bonus but I also didn't want them to end up with nothing, so I decided to give them 10. ",1,3,No,,,,,Female,25,Coll,"$15,001-$25,000",Yes,2000,2,3,1,yes
47,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,77,76,77,76,6,,6,Yes,Dem,,No,Yes,,,No,Yes,1,,,97,99,97,99,40,0,20,10,"im not sure the person is real, but just in case, i dint want to give them nothing.",1,6,No,,,,,Male,33,Coll,"$50,001-$65,000",Yes,2000,1,1,1,yes
48,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,-100,0,-100,0,5,,5,No,,No,No,No,,,No,No,0,,,-100,0,-100,0,40,0,20,0,Greedy and poor.,1,7,No,,,,,Male,58,Coll,"$10,001-$15,000",Yes,32000,5,1,1,yes
49,Democrat,Clinton,1,,1,,Sanders,Yes,,,No,No,No,No,0,,,5,1,5,1,4,,4,Yes,Other,,No,Yes,,,No,Yes,1,,,19,11,19,11,40,0,20,0,"I don't really believe the other person is real, nor do I believe that I'm actually going to be getting a bonus. ",1,2,No,,,,,Male,30,Coll,"$35,001-$50,000",Yes,6500,3,1,1,yes
50,Republican,Clinton,5,,5,Other,,Yes,,,No,No,No,No,0,,,30,20,30,20,,5,5,Yes,Other,,,,Yes,No,Yes,No,1,65,61,,,65,61,40,0,20,20,It seems fair to split it equally,1,6,No,,,,,Female,54,HS,"$80,001-$100,000",Yes,"A great many, probably close to 100",4,4,1,yes
51,Republican,Trump,,6,6,Trump,,Yes,Yes,Yes,,,Yes,Yes,2,49,41,,,49,41,,7,7,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,50,42,,,50,42,40,40,40,40,i answered truely,7,3,Yes,,,,,Male,34,Coll,"$80,001-$100,000",Yes,50,2,5,1,no
52,Republican,Clinton,1,,1,Other,,No,,,No,No,No,No,0,,,-100,0,-100,0,,4,4,Yes,Rep,,,,No,No,No,No,0,-6,0,,,-6,0,40,0,20,15,"I need the money, I don't care if the other person votes D or R. I would have gone down the middle with the bonus if I weren't in this situation right now.",2,1,No,,,,,Female,53,HS,"$35,001-$50,000",Yes,1500,3,3,1,yes
53,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,14,7,14,7,7,,7,Yes,Dem,,No,No,,,No,No,0,,,23,14,23,14,40,0,20,0,more for me,1,5,No,,,,,Female,37,<Coll,"$65,001-$80,000",Yes,150,2,5,1,yes
54,Democrat,Trump,,5,5,,Sanders,No,No,No,,,No,No,0,103,100,,,103,100,3,,3,Yes,Dem,,No,No,,,No,No,0,,,35,25,35,25,40,0,20,20,"I do not hate anybody because of who they support for president, Also I love sharing with fellow Mturker when I get chanse.",6,2,No,,,,,Male,61,Voc,"$15,001-$25,000",Yes,2000,3,5,1,yes
55,Democrat,Clinton,7,,7,,Clinton,Yes,,,Yes,No,Yes,No,1,,,87,88,87,88,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,76,75,76,75,40,40,20,10,Because i don't want them to donate more money to the republican party,1,7,No,,,,,Female,53,<Coll,"$50,001-$65,000",Yes,1690,3,1,1,no
56,Republican,Trump,,1,1,Other,,No,No,No,,,No,No,0,11,5,,,11,5,,7,7,Yes,Rep,,,,Yes,No,Yes,No,1,80,80,,,80,80,40,0,20,35,I do not like greed,3,1,No,,,,,Female,57,<Coll,"$80,001-$100,000",Yes,63,3,4,1,yes
57,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,44,35,44,35,6,,6,Yes,Dem,,No,No,,,No,No,0,,,64,60,64,60,40,0,20,20,"I thought it would be a nice thing to do to share my bonus with the other person, since otherwise they wouldn't get one, and it didn't take anything from the pay I had already assumed I would earn.",1,6,No,,,,,Female,38,Coll,"<$5,000",Yes,4000,2,4,1,yes
58,Republican,Trump,,5,5,Other,,No,No,No,,,No,No,0,24,15,,,24,15,,5,5,Yes,Rep,,,,No,No,No,No,0,63,59,,,63,59,40,0,20,0,"I work on mturk to maximize my financial outcome, nobody elses.  We use this money to buy groceries and feed our children.  That is more important to me than somebody's bonus that I don't know.",6,3,No,,,,,Female,31,Coll,"$35,001-$50,000",Yes,5000,2,4,1,yes
59,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,124,100,,,124,100,,5,5,Yes,Rep,,,,No,No,No,No,0,112,100,,,112,100,40,40,40,40,Just observation,7,1,Yes,,,,,Male,29,Coll,"$65,001-$80,000",Yes,100,1,5,1,no
60,Republican,Clinton,7,,7,Other,,No,,,No,No,No,No,0,,,125,100,125,100,,5,5,Yes,Rep,,,,No,No,No,No,0,125,100,,,125,100,40,0,20,0,"Though it was stated that there is no deception in this study, I am still skeptical. I'm not sure of the existence of the other worker, nor whether I will be given 40 extra cents. Also, if the other worker took this survey, he or she most likely got to choose some amount, much like I did, and thus, most likely had the opportunity to get their 40 cents in that way.",1,7,No,,,,,Female,23,Coll,"$5,000-$10,000",Yes,roughly 600,3,1,1,yes
61,Democrat,Trump,,2,2,,Sanders,Yes,No,No,,,No,No,0,3,1,,,3,1,4,,4,Yes,Dem,,No,Yes,,,No,Yes,1,,,15,7,15,7,40,0,20,10,"I felt like .10 was fair to send to the other person. Usually I spilt things evenly, but I don't generally like republican people as a group and I feel like they are generally not fair people. ",4,1,No,,,,,Female,34,Coll,"$25,001-$35,000",Yes,4500,3,5,1,yes
62,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,No,No,No,0,,,-100,0,-100,0,5,,5,Yes,Other,,Yes,No,,,Yes,No,1,,,-100,0,-100,0,40,0,20,0,"My daughter and I are hungry because we have no money for food. My duty is to her, not a stranger.",1,7,No,,,,,Female,48,Coll,"<$5,000",Yes,13000,3,5,1,yes
63,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,90,92,90,92,7,,7,Yes,Dem,,No,No,,,No,No,0,,,71,68,71,68,40,0,20,20,Because equal bonuses seemed more fair. ,1,7,No,,,,,Female,37,Coll,"$65,001-$80,000",Yes,200,3,4,1,yes
64,Republican,Trump,,4,4,Trump,,No,No,No,,,No,No,0,-11,0,,,-11,0,,5,5,Yes,Dem,,,,No,No,No,No,0,-2,0,,,-2,0,40,40,20,20,Because it seemed the most fair to split it 50/50.,5,2,No,,,,,Female,34,Grad,"$5,000-$10,000",Yes,3055,3,3,1,no
65,Republican,Trump,,7,7,Trump,,No,No,No,,,No,No,0,4,1,,,4,1,,5,5,Yes,Rep,,,,No,No,No,No,0,112,100,,,112,100,20,20,20,20,Seems only fair to give half of what I have.,7,5,No,,,,,Female,38,HS,"$25,001-$35,000",Yes,100,3,5,1,no
66,Democrat,Clinton,4,,4,,Clinton,Yes,,,No,No,No,No,0,,,66,62,66,62,4,,4,Yes,Other,,No,No,,,No,No,0,,,46,38,46,38,40,0,20,0,I made it so I can make more of a bonus,2,4,No,,,,,Male,22,<Coll,"$25,001-$35,000",Yes,200,2,1,1,yes
67,Democrat,Clinton,7,,7,,Clinton,No,,,No,No,No,No,0,,,25,14,25,14,7,,7,Yes,Dem,,No,No,,,No,No,0,,,86,87,86,87,20,20,40,15,my instinct,1,7,No,,,,,Male,25,HS,"<$5,000",Yes,17000,1,5,1,no
68,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,No,No,No,0,,,125,100,125,100,7,,7,Yes,Dem,,No,No,,,No,No,0,,,125,100,125,100,40,0,20,0,I wanted to maximize my payoff,1,7,No,,,,,Female,38,Grad,"$35,001-$50,000",Yes,19000,5,4,1,yes
69,Democrat,Clinton,2,,2,,Sanders,No,,,No,No,No,No,0,,,13,6,13,6,5,,5,Yes,Dem,,No,No,,,No,No,0,,,38,29,38,29,40,0,20,0,I want money,1,2,No,,,,,Male,23,Coll,"$35,001-$50,000",Yes,2000,1,3,1,yes
70,Democrat,Trump,,5,5,,Sanders,Yes,No,Yes,,,No,Yes,1,89,91,,,89,91,5,,5,No,,Yes-Other,No,Yes,,,No,Yes,1,,,91,93,91,93,10,30,20,25,my first gut,4,6,No,,,,,Male,28,<Coll,"$15,001-$25,000",Yes,0,2,3,1,no
71,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,125,100,,,125,100,,4,4,Yes,Other,,,,No,No,No,No,0,2,0,,,2,0,0,0,0,0,greed,7,1,No,,,,,Male,51,<Coll,"<$5,000",Yes,1200,3,1,1,no
72,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,125,100,,,125,100,,7,7,Yes,Rep,,,,No,No,No,No,0,125,100,,,125,100,40,0,20,0,I want it all for myself.,7,1,No,,,,,Male,36,Coll,"$80,001-$100,000",Yes,750,3,3,1,yes
73,Republican,Trump,,7,7,Trump,,No,No,No,,,No,No,0,125,100,,,125,100,,4,4,Yes,Other,,,,No,No,No,No,0,-20,0,,,-20,0,20,40,40,20,I wanted to be fair ,7,1,No,,,,,Male,62,<Coll,"$25,001-$35,000",Yes,5000,3,4,1,no
74,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,No,No,No,0,,,45,36,45,36,5,,5,Yes,Dem,,No,No,,,No,No,0,,,51,44,51,44,40,0,20,0,I want the money,1,7,No,,,,,Male,49,HS,"$5,000-$10,000",Yes,30000,2,4,1,yes
75,Democrat,Clinton,1,,1,,Sanders,No,,,No,No,No,No,0,,,-42,0,-42,0,1,,1,Yes,Rep,,No,No,,,No,No,0,,,12,5,12,5,40,0,20,20,It's only fair for us to get an equal bonus for the same amount of work.,1,2,No,,,,,Female,22,Coll,"$25,001-$35,000",Yes,2100,3,5,1,yes
76,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,35,25,35,25,5,,5,Yes,Dem,,No,No,,,No,No,0,,,78,78,78,78,40,0,20,20,I wanted to be fair and share some of the bonus.,1,5,No,,,,,Female,25,Coll,"$50,001-$65,000",Yes,1000,1,1,1,yes
77,Democrat,Clinton,7,,7,,Sanders,No,,,No,Yes,No,Yes,1,,,61,56,61,56,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,79,79,79,79,40,0,20,10,"i'm very poor. i'm late and short with my rent . i'm so sorry i feel terrible, but i can't help it.",1,7,No,,,,,Female,50,Voc,"<$5,000",Yes,3000,1,5,1,yes
78,Republican,Trump,,1,1,Other,,No,No,No,,,No,No,0,-100,0,,,-100,0,,3,3,Yes,Rep,,,,No,No,No,No,0,-51,0,,,-51,0,40,0,20,0,Well....I'm selfish. And I have no connection with the other person other than we both supporting a party who was dumb enough to give Donald Trump the nominee.,3,2,No,,,,,Male,30,Coll,"$80,001-$100,000",Yes,100,1,5,1,yes
79,Democrat,Clinton,5,,5,,Clinton,Yes,,,No,No,No,No,0,,,125,100,125,100,6,,6,Yes,Rep,,No,No,,,No,No,0,,,125,100,125,100,40,0,20,10,"I wanted to transfer them something, but becasue i had the fortune of being the decision maker, i wanted to keep more money for myself.",1,5,No,,,,,Female,30,Coll,">$100,000",Yes,2300,3,5,1,yes
80,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,No,No,No,0,,,53,46,53,46,5,,5,Yes,Dem,,No,No,,,No,No,0,,,91,93,91,93,20,40,20,20,It seemed fair.,1,7,Yes,,,,,Female,26,Coll,"$35,001-$50,000",Yes,20000,2,4,1,no
81,Democrat,Clinton,6,,6,,Sanders,No,,,No,No,No,No,0,,,3,1,3,1,6,,6,Yes,Dem,,No,No,,,No,No,0,,,2,0,2,0,40,0,20,0,I'm doing Mturk to pay for my medicine. I don't care about other people.,1,6,No,,,,,Female,26,Coll,"<$5,000",Yes,800,4,1,1,yes
82,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,26,17,26,17,5,,5,Yes,Dem,,No,No,,,No,No,0,,,49,41,49,41,40,0,20,0,I wanted to maximize my bonus.,1,6,No,,,,,Female,27,Coll,">$100,000",Yes,100,1,5,1,yes
